,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth
0,31/12/2010,ראשון לציון,,5,110,8,"2,035,000","18,500",2011,2010.0,12.0
1,31/12/2010,ראשון לציון,,3,80,7,"1,363,000","17,037",2010,2010.0,12.0
2,31/12/2010,ראשון לציון,בורג יוסף,5,100,5,"1,460,000","14,600",2010,2010.0,12.0
3,31/12/2010,ראשון לציון,ראובן 11,5,133,8,"1,970,000","14,812",2010,2010.0,12.0
4,31/12/2010,ראשון לציון,נהריים 16,4,100,18,"1,223,300","12,233",2011,2010.0,12.0
5,31/12/2010,ראשון לציון,הפסנתר 11,4,100,1,"1,300,000","13,000",1998,2010.0,12.0
6,31/12/2010,ראשון לציון,רופין 8,4.5,191,7,"1,760,000","9,214",1982,2010.0,12.0
7,31/12/2010,ראשון לציון,צבי גנות 6,3,80,3,"1,320,500","16,506",2010,2010.0,12.0
8,31/12/2010,ראשון לציון,תרשיש 6,5,125,3,"1,670,000","13,360",1997,2010.0,12.0
9,31/12/2010,ראשון לציון,קרון אהרון 28,2.5,59,,"860,000","14,576",1971,2010.0,12.0
10,30/11/2010,ראשון לציון,יהודה רגוניס 1,3,66,1,"1,150,000","17,424",2005,2010.0,11.0
11,30/11/2010,ראשון לציון,התזמורת 2,4,108,12,"2,365,000","21,898",1998,2010.0,11.0
12,30/11/2010,ראשון לציון,שבטי ישראל 31,5,182,,"2,330,000","12,802",1997,2010.0,11.0
13,30/11/2010,ראשון לציון,ברגמן 8,7,178,,"2,800,000","15,730",2002,2010.0,11.0
14,30/11/2010,ראשון לציון,ז''בוטינסקי 50,3,63,1,"800,000","12,698",1900,2010.0,11.0
15,30/11/2010,ראשון לציון,המגילה 73,5,130,,"2,050,000","15,769",1991,2010.0,11.0
16,30/11/2010,ראשון לציון,כורש 7,3,78,2,"1,025,000","13,141",1980,2010.0,11.0
17,29/11/2010,ראשון לציון,הנחשול 99,5,125,11,"1,984,210","15,873",2010,2010.0,11.0
18,29/11/2010,ראשון לציון,קפלנסקי 14,3,60,2,"1,070,000","17,833",1973,2010.0,11.0
19,29/11/2010,ראשון לציון,אברבנאל 43,4,92,,"1,010,000","10,978",1982,2010.0,11.0
20,31/10/2010,ראשון לציון,התזמורת 10,4,83,7,"1,380,000","16,626",1998,2010.0,10.0
21,31/10/2010,ראשון לציון,טרומפלדור 8,3,88,2,"1,285,000","14,602",2010,2010.0,10.0
22,31/10/2010,ראשון לציון,אלקבץ 13,3,65,3,"1,110,000","17,076",2004,2010.0,10.0
23,31/10/2010,ראשון לציון,עין הקורא 30,3,65,2,"900,000","13,846",1970,2010.0,10.0
24,31/10/2010,ראשון לציון,בלקינד שמשון 38,8,200,,"2,494,000","12,470",2000,2010.0,10.0
25,31/10/2010,ראשון לציון,וייז סטפן 12,3.5,73,4,"900,000","12,328",1967,2010.0,10.0
26,31/10/2010,ראשון לציון,הרב נריה 9,2.5,41,3,"945,000","23,048",2001,2010.0,10.0
27,31/10/2010,ראשון לציון,,8,200,,"2,494,000","12,470",2000,2010.0,10.0
28,31/10/2010,ראשון לציון,עין הקורא 30,3,65,2,"900,000","13,846",1970,2010.0,10.0
29,31/10/2010,ראשון לציון,,3.5,73,,"900,000","12,328",1967,2010.0,10.0
30,30/9/2010,ראשון לציון,גרינבוים 7,3,78,3,"600,000","7,692",1970,2010.0,9.0
31,29/9/2010,ראשון לציון,נחלת יהודה,4,100,1,"1,520,000","15,200",2010,2010.0,9.0
32,29/9/2010,ראשון לציון,הדייגים 16,6,281,,"2,600,000","9,252",2000,2010.0,9.0
33,28/9/2010,ראשון לציון,הנחשול 99,5,125,11,"1,979,210","15,833",2010,2010.0,9.0
34,28/9/2010,ראשון לציון,תל חי 12,3,66,4,"805,000","12,196",1900,2010.0,9.0
35,28/9/2010,ראשון לציון,השדה 45,4,91,1,"1,070,000","11,758",1977,2010.0,9.0
36,28/9/2010,ראשון לציון,ז''בוטינסקי 11,3,64,4,"800,000","12,500",1971,2010.0,9.0
37,28/9/2010,ראשון לציון,,4,100,5,"1,760,204","17,602",2007,2010.0,9.0
38,27/9/2010,ראשון לציון,אנילביץ 27,2,35,2,"590,000","16,857",1988,2010.0,9.0
39,27/9/2010,ראשון לציון,ויניק 25,5.5,120,1,"1,575,000","13,125",1995,2010.0,9.0
40,31/8/2010,ראשון לציון,אחד העם 2,4,84,2,"1,212,122","14,430",1995,2010.0,8.0
41,31/8/2010,ראשון לציון,כצנלסון 57,3,60,,"1,800,000","30,000",1965,2010.0,8.0
42,31/8/2010,ראשון לציון,החייל האלמוני 7,3,63,3,"750,000","11,904",1977,2010.0,8.0
43,31/8/2010,ראשון לציון,עולי הגרדום 37,3,63,4,"1,100,000","17,460",1980,2010.0,8.0
44,31/8/2010,ראשון לציון,,4,100,3,"1,341,342","13,413",2010,2010.0,8.0
45,31/8/2010,ראשון לציון,,4,100,,"1,560,411","15,604",2010,2010.0,8.0
