,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth
0,31/12/2010,rishon-lezion,,5,110,8,"2,035,000","18,500",2011,2010.0,12.0
1,31/12/2010,rishon-lezion,,3,80,7,"1,363,000","17,037",2010,2010.0,12.0
2,31/12/2010,rishon-lezion,בורג יוסף,5,100,5,"1,460,000","14,600",2010,2010.0,12.0
3,31/12/2010,rishon-lezion,ראובן 11,5,133,8,"1,970,000","14,812",2010,2010.0,12.0
4,31/12/2010,rishon-lezion,נהריים 16,4,100,18,"1,223,300","12,233",2011,2010.0,12.0
5,31/12/2010,rishon-lezion,הפסנתר 11,4,100,1,"1,300,000","13,000",1998,2010.0,12.0
6,31/12/2010,rishon-lezion,רופין 8,4.5,191,7,"1,760,000","9,214",1982,2010.0,12.0
7,31/12/2010,rishon-lezion,צבי גנות 6,3,80,3,"1,320,500","16,506",2010,2010.0,12.0
8,31/12/2010,rishon-lezion,תרשיש 6,5,125,3,"1,670,000","13,360",1997,2010.0,12.0
9,31/12/2010,rishon-lezion,קרון אהרון 28,2.5,59,,"860,000","14,576",1971,2010.0,12.0
10,31/12/2010,rishon-lezion,,4.5,191,,"1,760,000","9,214",1982,2010.0,12.0
11,31/12/2010,rishon-lezion,,4,100,,"1,300,000","13,000",1998,2010.0,12.0
12,31/12/2010,rishon-lezion,קרון אהרן 28,2.5,59,,"860,000","14,576",1971,2010.0,12.0
13,31/12/2010,rishon-lezion,הפסנתר 11,4,100,1,"1,300,000","13,000",1998,2010.0,12.0
14,31/12/2010,rishon-lezion,,5,125,,"1,670,000","13,360",1997,2010.0,12.0
15,31/12/2010,rishon-lezion,,4,100,,"1,223,300","12,233",2011,2010.0,12.0
16,31/12/2010,rishon-lezion,שלמה אלרז 70,4,100,18,"1,223,300","12,233",2011,2010.0,12.0
17,31/12/2010,rishon-lezion,מבצע משה 37,5,125,3,"1,670,000","13,360",1997,2010.0,12.0
18,31/12/2010,rishon-lezion,,2.5,59,,"860,000","14,576",1971,2010.0,12.0
19,31/12/2010,rishon-lezion,,5,133,,"1,970,000","14,812",2010,2010.0,12.0
